booking_id,check_in,total_price,special_requests,user_id,listing_id
9001,2025-10-05,244.88,Extra towels,1135,28518320
9002,2025-08-16,468.11,High floor,1095,19083282
9003,2025-09-02,438.76,Late arrival,1069,31593677
9004,2025-08-12,89.96,Extra towels,1076,3924092
9005,2025-01-17,229.17,Extra towels,1075,7724031
9006,2025-09-26,440.92,None,1125,29566272
9007,2025-03-28,395.74,Extra towels,1107,19779217
9008,2025-04-19,263.02,None,1140,26923831
9009,2025-06-30,288.36,Late arrival,1110,30084269
9010,2025-08-03,419.94,Late arrival,1143,26526075
9011,2025-08-31,97.36,Extra towels,1106,10611168
9012,2025-06-12,223.7,Late arrival,1108,2292275
9013,2025-05-11,69.32,Extra towels,1068,28316936
9014,2025-07-23,290.82,Late arrival,1025,10702489
9015,2025-05-22,175.48,None,1087,29341918
9016,2025-07-24,327.65,None,1020,15769652
9017,2025-06-07,298.79,Late arrival,1148,8240016
9018,2025-07-07,150.39,Late arrival,1070,2186699
9019,2025-04-25,345.01,High floor,1098,21996983
9020,2025-07-25,105.72,None,1022,2057480
9021,2025-05-12,331.74,Late arrival,1069,17681470
9022,2025-03-09,467.43,None,1150,22527937
9023,2025-01-13,452.11,Extra towels,1027,33441771
9024,2025-02-19,312.84,None,1105,26741585
9025,2025-10-24,302.94,High floor,1067,35740716
9026,2025-09-05,184.57,Extra towels,1097,18274232
9027,2025-04-01,173.91,Extra towels,1052,24821651
9028,2025-08-05,160.55,Extra towels,1100,2867115
9029,2025-07-30,186.3,Extra towels,1135,32740761
9030,2025-10-20,129.48,None,1023,5233345
9031,2025-05-19,56.49,High floor,1037,26131606
9032,2025-09-22,204.08,Extra towels,1003,35931169
9033,2025-04-19,67.76,Extra towels,1067,6730582
9034,2025-07-07,351.29,High floor,1023,23235654
9035,2025-05-15,217.31,High floor,1095,282443
9036,2025-01-16,354.47,Extra towels,1062,21279172
9037,2025-02-07,202.94,Extra towels,1093,19012181
9038,2025-08-20,441.31,High floor,1138,25446811
9039,2025-01-04,84.4,Extra towels,1001,35059538
9040,2025-07-26,263.56,None,1065,2510394
