listing_id,property_name,room_type,latitude,longitude,host_id
2539,Clean & quiet apt home by the park,Private room,40.64749,-73.97237,2787
2595,Skylit Midtown Castle,Entire home/apt,40.75362,-73.98377,2845
3647,THE VILLAGE OF HARLEM....NEW YORK !,Private room,40.80902,-73.9419,4632
3831,Cozy Entire Floor of Brownstone,Entire home/apt,40.68514,-73.95976,4869
5022,Entire Apt: Spacious Studio/Loft by central park,Entire home/apt,40.79851,-73.94399,7192
5099,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,40.74767,-73.975,7322
5121,BlissArtsSpace!,Private room,40.68688,-73.95596,7356
5178,Large Furnished Room Near B'way ,Private room,40.76489,-73.98493,8967
5203,Cozy Clean Guest Room - Family Apt,Private room,40.80178,-73.96723,7490
5238,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,40.71344,-73.99037,7549
5295,Beautiful 1br on Upper West Side,Entire home/apt,40.80316,-73.96545,7702
5441,Central Manhattan/near Broadway,Private room,40.76076,-73.98867,7989
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,40.66829,-73.98779,9744
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,40.79826,-73.96113,11528
6090,West Village Nest - Superhost,Entire home/apt,40.7353,-74.00525,11975
6848,Only 2 stops to Manhattan studio,Entire home/apt,40.70837,-73.95352,15991
7097,Perfect for Your Parents + Garden,Entire home/apt,40.69169,-73.97185,17571
7322,Chelsea Perfect,Private room,40.74192,-73.99501,18946
7726,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,40.67592,-73.94694,20950
7750,Huge 2 BR Upper East  Cental Park,Entire home/apt,40.79685,-73.94872,17985
7801,Sweet and Spacious Brooklyn Loft,Entire home/apt,40.71842,-73.95718,21207
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Private room,40.68069,-73.97706,22486
8025,CBG Helps Haiti Room#2.5,Private room,40.67989,-73.97798,22486
8110,CBG Helps Haiti Rm #2,Private room,40.68001,-73.97865,22486
8490,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,40.68371,-73.94028,25183
8505,Sunny Bedroom Across Prospect Park,Private room,40.65599,-73.97519,25326
8700,Magnifique Suite au N de Manhattan - vue Cloitres,Private room,40.86754,-73.92639,26394
9357,Midtown Pied-a-terre,Entire home/apt,40.76715,-73.98533,30193
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private room,40.86482,-73.92106,31374
9657,Modern 1 BR / NYC / EAST VILLAGE,Entire home/apt,40.7292,-73.98542,21904
9668,front room/double bed,Private room,40.82245,-73.95104,32294
9704,Spacious 1 bedroom in luxe building,Private room,40.81305,-73.95466,32045
9782,Loft in Williamsburg Area w/ Roof,Private room,40.72219,-73.93762,32169
9783,back room/bunk beds,Private room,40.8213,-73.95318,32294
10452,Large B&B Style rooms,Private room,40.6831,-73.95473,35935
10962,"Lovely room 2 & garden; Best area, Legal rental",Private room,40.66869,-73.9878,9744
11452,Clean and Quiet in Brooklyn,Private room,40.68876,-73.94312,7355
11708,Cute apt in artist's home,Entire home/apt,40.70186,-73.92745,44145
11943,Country space in the city,Private room,40.63702,-73.96327,45445
12048,LowerEastSide apt share shortterm 1,Shared room,40.71401,-73.98917,7549
12192,ENJOY Downtown NYC!,Private room,40.7229,-73.98199,46978
12299,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,40.66278,-73.97966,47610
12303,1bdr w private bath. in lofty apt,Private room,40.69673,-73.97584,47618
12318,West Side Retreat,Private room,40.79009,-73.97927,16800
12343,BEST BET IN HARLEM,Entire home/apt,40.81175,-73.94478,47727
12627,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,40.65944,-73.96238,49670
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private room,40.74771,-73.9474,50124
12940,Charming Brownstone 3 - Near PRATT,Entire home/apt,40.68111,-73.95591,50148
