rate_id,season_name,price_multiplier,listing_id
80001,Winter Off-Peak,1.19,2539
80002,Spring Break,1.49,2595
80003,Spring Break,0.84,3647
80004,Spring Break,1.09,3831
80005,Summer Peak,1.24,5022
80006,Spring Break,0.93,5099
80007,Summer Peak,0.8,5121
80008,Winter Off-Peak,1.12,5178
80009,Winter Off-Peak,1.12,5203
80010,Spring Break,1.33,5238
80011,Summer Peak,1.05,5295
80012,Winter Off-Peak,1.2,5441
80013,Spring Break,1.03,5803
80014,Winter Off-Peak,1.48,6021
80015,Spring Break,1.23,6090
80016,Summer Peak,1.04,6848
80017,Winter Off-Peak,1.08,7097
80018,Summer Peak,1.05,7322
80019,Spring Break,0.92,7726
80020,Summer Peak,1.37,7750
80021,Summer Peak,0.98,7801
80022,Spring Break,0.9,8024
80023,Winter Off-Peak,1.14,8025
80024,Winter Off-Peak,1.5,8110
80025,Spring Break,1.16,8490
80026,Winter Off-Peak,0.84,8505
80027,Spring Break,0.84,8700
80028,Winter Off-Peak,1.4,9357
80029,Summer Peak,1.34,9518
80030,Summer Peak,0.9,9657
80031,Winter Off-Peak,1.36,9668
80032,Spring Break,1.41,9704
80033,Spring Break,0.96,9782
80034,Winter Off-Peak,1.25,9783
80035,Winter Off-Peak,1.43,10452
80036,Winter Off-Peak,1.39,10962
80037,Summer Peak,1.11,11452
80038,Winter Off-Peak,1.15,11708
80039,Winter Off-Peak,1.25,11943
80040,Spring Break,0.98,12048
80041,Spring Break,1.46,12192
80042,Summer Peak,1.37,12299
80043,Spring Break,1.16,12303
80044,Winter Off-Peak,0.81,12318
80045,Summer Peak,0.99,12343
80046,Summer Peak,1.17,12627
80047,Spring Break,1.29,12937
80048,Spring Break,1.43,12940
80049,Spring Break,0.82,13050
80050,Winter Off-Peak,1.41,13394
80051,Spring Break,1.46,13808
80052,Spring Break,1.23,14287
80053,Spring Break,1.31,14290
80054,Summer Peak,0.91,14314
80055,Winter Off-Peak,1.42,14322
80056,Winter Off-Peak,1.34,14377
80057,Winter Off-Peak,1.15,14991
80058,Summer Peak,0.85,15220
80059,Summer Peak,1.44,15338
80060,Spring Break,0.91,15341
80061,Winter Off-Peak,0.92,15385
80062,Winter Off-Peak,1.36,15396
80063,Summer Peak,1.34,15711
80064,Winter Off-Peak,1.28,16326
80065,Winter Off-Peak,1.18,16338
80066,Winter Off-Peak,1.45,16421
80067,Spring Break,0.83,16458
80068,Spring Break,1.21,16580
80069,Spring Break,1.11,16595
80070,Winter Off-Peak,1.06,16821
80071,Summer Peak,0.94,16974
80072,Spring Break,1.41,17037
80073,Winter Off-Peak,1.23,17092
80074,Spring Break,0.86,17693
80075,Winter Off-Peak,1.21,17747
80076,Summer Peak,1.16,18127
80077,Summer Peak,1.08,18152
80078,Spring Break,1.38,18198
80079,Summer Peak,0.83,18590
80080,Summer Peak,0.95,18728
80081,Winter Off-Peak,1.04,18764
80082,Spring Break,1.37,19159
80083,Spring Break,1.43,19169
80084,Winter Off-Peak,0.98,19282
80085,Winter Off-Peak,1.19,19319
80086,Spring Break,1.02,19601
80087,Summer Peak,1.15,19812
80088,Summer Peak,1.45,20299
80089,Summer Peak,1.46,20300
80090,Spring Break,1.01,20611
80091,Spring Break,1.18,20724
80092,Winter Off-Peak,1.21,20734
80093,Winter Off-Peak,1.17,20755
80094,Winter Off-Peak,0.88,20853
80095,Summer Peak,1.42,20913
80096,Winter Off-Peak,1.27,21293
80097,Summer Peak,1.22,21456
80098,Winter Off-Peak,1.09,21644
80099,Spring Break,0.8,21794
80100,Spring Break,1.24,22911
80101,Spring Break,1.47,22918
80102,Spring Break,1.11,23135
80103,Spring Break,0.98,23501
80104,Winter Off-Peak,1.26,23686
80105,Spring Break,0.87,24143
80106,Summer Peak,0.9,24285
80107,Summer Peak,1.38,25235
80108,Summer Peak,1.32,25406
80109,Summer Peak,0.85,25696
80110,Summer Peak,1.19,26012
80111,Spring Break,1.4,26362
80112,Winter Off-Peak,1.08,26520
80113,Summer Peak,1.36,26559
80114,Winter Off-Peak,0.87,26785
80115,Summer Peak,0.97,26933
80116,Spring Break,1.26,26954
80117,Spring Break,0.93,26969
80118,Summer Peak,0.99,27006
80119,Summer Peak,1.39,27385
80120,Spring Break,0.99,27531
80121,Spring Break,1.36,27644
80122,Spring Break,1.17,27659
80123,Winter Off-Peak,1.01,27759
80124,Summer Peak,1.48,27883
80125,Summer Peak,1.32,28321
80126,Spring Break,1.42,28396
80127,Winter Off-Peak,1.17,28907
80128,Winter Off-Peak,0.82,29012
80129,Spring Break,1.43,29013
80130,Summer Peak,1.08,29455
80131,Summer Peak,0.9,29628
80132,Summer Peak,0.81,29683
80133,Summer Peak,1.24,30031
80134,Spring Break,1.42,30927
80135,Winter Off-Peak,1.09,31130
80136,Spring Break,1.44,31555
80137,Winter Off-Peak,1.11,31902
80138,Spring Break,1.14,31994
80139,Winter Off-Peak,1.19,32023
80140,Spring Break,1.2,32037
80141,Winter Off-Peak,1.42,32100
80142,Summer Peak,1.25,32289
80143,Winter Off-Peak,1.41,32331
80144,Summer Peak,0.83,32363
80145,Spring Break,0.87,32965
80146,Winter Off-Peak,1.46,32969
80147,Summer Peak,0.83,33009
80148,Spring Break,1.27,33014
80149,Summer Peak,1.37,33223
80150,Winter Off-Peak,1.09,34760
